Ref number,Carbon precursors,Sample name,Sbet (m2g-1),Vtotal (cm3g-1),Vmicro (cm3g-1),P (bar),T (K),C (%),O (%),N (%),Uptake (mmolg-1),DOI,Year,Title
6,Lignin,BC-600-2,1169.0,0.91,0.23,1.0,323.0,65.82,22.66,0.17,1.73,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-100-500,1299.0,0.87,0.31,1.0,323.0,66.39,14.54,0.26,2.34,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-200-500,1434.0,0.85,0.42,1.0,323.0,68.11,13.38,0.17,2.72,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-300-500,1407.0,0.84,0.4,1.0,323.0,67.64,12.39,0.16,2.57,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-400-500,1376.0,0.81,0.37,1.0,323.0,69.24,12.16,0.38,2.5,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-200-400,1232.0,0.72,0.38,1.0,323.0,67.59,14.69,0.26,2.38,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-200-600,1406.0,1.02,0.3,1.0,323.0,70.12,8.59,0.18,2.47,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/BC-200-700,1350.0,1.13,0.2,1.0,323.0,75.39,4.93,0.12,1.82,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
6,Lignin,Ni/Co/BC-400-500,1390.0,0.82,0.42,1.0,323.0,69.16,11.55,0.25,2.41,https://doi.org/10.1016/j.energy.2026.140326,2026,Upgraded utilization of biochar after heavy metal (Ni) adsorption for CO2 capture
7,Spent coffee grounds,ACG Unwashed,2645.0,1.25,1.12,1.0,298.0,89.0,9.3,1.37,2.8,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture
7,Spent coffee grounds,ACG Water,2812.0,1.36,1.21,1.0,298.0,88.2,10.4,1.15,3.0,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture
7,Spent coffee grounds,ACG Ethanol,2672.0,1.27,1.16,1.0,298.0,88.8,9.1,1.7,3.45,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture
7,Spent coffee grounds,ACG Acetone,2577.0,1.18,1.08,1.0,298.0,88.8,8.98,1.95,3.8,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture
7,Spent coffee grounds,ACG Hexane,2737.0,1.3,1.2,1.0,298.0,90.1,8.0,1.76,3.6,DOI:10.1002/cey2.70141,2026,Solvent‐Driven Pore Engineering in Coffee‐Derived Activated Hydrochar: Implications for Post‐Combustion CO2 Capture
8,Jujube seeds,JAC,2140.0,0.96,0.83,1.0,273.0,,,,25.598,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
8,Jujube seeds,JAC/MCM-41,2040.0,0.86,0.58,1.0,273.0,68.63,29.52,1.85,29.22,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
8,Jujube seeds,CAC/MCM-41,720.0,0.52,0.11,1.0,273.0,71.99,26.09,1.92,14.421,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
8,Jujube seeds,GR/MCM-41,309.0,0.44,0.12,1.0,273.0,37.23,53.49,9.27,3.673,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
8,Jujube seeds,MWCNT/MCM-41,158.0,0.58,0.06,1.0,273.0,37.14,50.84,12.01,0.983,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
8,Jujube seeds,JAC,2140.0,0.96,0.83,1.0,298.0,,,,14.899,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
8,Jujube seeds,JAC/MCM-41,2040.0,0.86,0.58,1.0,298.0,68.63,29.52,1.85,17.314,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
8,Jujube seeds,CAC/MCM-41,720.0,0.52,0.11,1.0,298.0,71.99,26.09,1.92,9.897,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
8,Jujube seeds,GR/MCM-41,309.0,0.44,0.12,1.0,298.0,37.23,53.49,9.27,2.358,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
8,Jujube seeds,MWCNT/MCM-41,158.0,0.58,0.06,1.0,298.0,37.14,50.84,12.01,0.608,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
8,Jujube seeds,JAC,2140.0,0.96,0.83,1.0,298.0,,,,8.925,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
8,Jujube seeds,JAC/MCM-41,2040.0,0.86,0.58,1.0,298.0,68.63,29.52,1.85,10.462,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
8,Jujube seeds,CAC/MCM-41,720.0,0.52,0.11,1.0,298.0,71.99,26.09,1.92,6.607,https://doi.org/10.1016/j.fuel.2025.137238Get rights and content,2026,"From jujube seeds to gas storage: Carbon-enhanced MCM-41 composites for CO2, CH4 and H2 adsorption"
